job_id,num_gpu,submit_time,iterations,model_name,duration,interval
0,1,8555,5049,vgg16,747,14
1,1,832,296,vgg19,98,8
2,1,14341,3621,alexnet,30,17
3,1,16962,5458,inception3,158,5
4,1,13553,6315,inception3,26,20
5,1,11521,7266,vgg16,30,6
6,1,13874,6148,inception3,393,21
7,1,6915,8952,alexnet,157,14
8,1,3262,7681,vgg16,271,6
9,1,16967,8602,vgg19,163,8
10,1,276,4176,inception3,89,15
11,8,9176,7309,resnet101,122,12
12,4,1256,5274,resnet101,102,22
13,1,14418,2337,vgg19,30,7
14,1,3876,4586,vgg16,77,25
15,1,3885,5106,alexnet,68,9
16,4,18350,6280,vgg19,1601,16
17,1,3290,838,resnet101,35,12
18,1,3287,1301,alexnet,35,17
19,1,12309,6012,alexnet,31,18
20,1,16966,3355,inception3,148,15
21,1,1331,5414,vgg19,41,23
22,1,6901,7858,vgg19,156,16
23,1,14341,6395,vgg19,23,13
24,1,13680,5912,vgg16,325,18
25,1,17839,7875,alexnet,20,25
26,1,14290,2597,vgg16,21,14
27,1,5709,7530,alexnet,178,16
28,1,77,176,alexnet,85,22
29,1,1030,9213,alexnet,59,15
30,1,829,6544,alexnet,57,15
31,1,2,2673,alexnet,82,5
32,1,19164,8131,vgg16,76,22
33,1,2356,6727,vgg16,258,12
34,1,19648,382,vgg19,378,11
35,1,13556,2206,inception3,22,5
36,1,14122,9600,vgg16,32,23
37,1,1163,9904,vgg16,21,5
38,1,18962,6009,alexnet,29,5
39,1,1415,4594,vgg19,39,22
40,1,1404,4974,inception3,41,5
41,1,2357,4534,alexnet,219,5
42,1,13552,9257,alexnet,27,10
43,1,306,3938,resnet101,247,7
44,4,10063,5119,inception3,3793,9
45,1,14423,3904,resnet101,26,21
46,1,8238,3580,vgg19,142,5
47,1,14339,7245,resnet101,27,25
48,1,1455,8672,alexnet,40,23
49,1,2348,3313,inception3,345,5
50,8,19435,9729,vgg19,74,23
51,1,18776,7271,inception3,21,8
52,1,11111,9536,resnet101,31,22
53,1,12078,1633,vgg19,21,5
54,1,13555,3711,alexnet,25,24
55,1,3861,4253,vgg16,1274,5
56,1,13915,5309,vgg19,30,6
57,1,11494,2861,resnet101,37,5
58,4,10903,6411,inception3,24,6
59,1,1364,5005,resnet101,100,10
60,1,1469,741,inception3,40,5
61,1,1047,242,inception3,97,5
62,1,18959,7988,resnet101,39,7
63,1,1476,4696,resnet101,67,19
64,1,1350,4924,resnet101,67,5
65,1,11528,3002,alexnet,21,7
66,1,5447,689,vgg16,905,6
67,1,14410,972,inception3,35,12
68,1,11464,3886,inception3,137,23
69,1,16688,2996,alexnet,1899,5
70,4,13274,8128,vgg16,2443,5
71,1,13203,6766,vgg16,408,5
72,8,19895,4373,alexnet,1734,17
73,1,11053,8375,resnet101,27,24
74,1,3318,4300,vgg16,35,23
75,8,881,9319,alexnet,95,5
76,1,841,8636,resnet101,57,5
77,1,5706,1516,inception3,44,12
78,1,8191,3702,vgg16,1522,8
79,1,12134,1418,vgg19,28,22
80,1,2350,4513,vgg19,215,8
81,1,1382,9652,vgg16,39,5
82,1,16201,837,vgg16,202,5
83,1,987,3299,resnet101,92,5
84,2,6933,8947,alexnet,2305,5
85,1,11564,1162,resnet101,36,5
86,1,3237,426,vgg19,67,5
87,1,11633,2843,resnet101,40,16
88,1,1340,5877,resnet101,41,5
89,1,3747,2925,vgg19,92,7
90,1,17160,936,vgg19,22,11
91,1,11493,8600,vgg19,26,10
92,1,14334,4394,vgg19,34,8
93,1,3537,5652,vgg19,1246,21
94,1,3279,8305,vgg19,35,24
95,1,19081,5757,vgg19,437,8
96,1,16024,2530,inception3,374,8
97,1,3270,895,inception3,33,10
98,1,17459,3309,alexnet,21,8
99,1,13201,7742,alexnet,398,7
100,1,13872,2697,alexnet,339,13
101,1,843,6718,inception3,59,5
102,1,12497,6559,alexnet,38,8
103,1,14122,6058,vgg19,32,23
104,1,14418,7891,resnet101,30,17
105,1,11631,3809,alexnet,30,17
106,4,17417,3954,resnet101,38,22
107,1,986,9040,vgg16,60,5
108,1,832,5097,alexnet,99,21
109,1,338,9501,vgg19,179,14
110,1,18961,8324,vgg19,29,15
111,1,12315,3094,resnet101,26,7
112,1,10261,7672,alexnet,75,22
113,1,3861,5368,alexnet,1630,18
114,1,33,6398,alexnet,46,5
115,1,3278,9831,vgg19,34,6
116,1,18175,1939,vgg19,22,18
117,1,7403,5103,vgg19,100,11
118,1,925,644,resnet101,58,15
119,1,14336,9021,vgg16,37,16
120,1,1006,940,inception3,99,5
121,1,3201,7842,vgg19,35,20
122,1,1482,8569,vgg16,41,24
123,1,7418,3802,inception3,236,20
124,1,5708,7720,inception3,256,5
125,1,19083,4533,alexnet,68,21
126,1,17130,8133,resnet101,23,24
127,4,9734,2453,inception3,797,9
128,1,7232,8514,vgg19,96,16
129,1,115,7416,vgg16,329,5
130,1,11361,2416,resnet101,21,9
131,1,1779,525,inception3,122,33
132,1,6892,281,vgg16,149,8
133,1,13552,4674,vgg19,32,24
134,1,6669,5184,inception3,222,20
135,1,11640,5054,vgg19,28,8
136,1,1054,9620,resnet101,58,15
137,1,89,1664,inception3,35,9
138,1,13895,7280,vgg19,33,20
139,1,13201,7150,resnet101,75,7
140,1,13920,4440,resnet101,26,16
141,1,1414,4613,alexnet,39,11
142,1,38,7177,vgg19,365,14
143,1,2361,667,alexnet,215,21
144,1,13900,991,vgg19,24,20
145,1,16501,787,vgg19,307,19
146,1,12315,3101,vgg16,20,16
147,1,8557,1166,vgg16,742,17
148,1,14420,3091,alexnet,22,8
149,4,1028,4258,inception3,3724,22
150,1,7412,6844,inception3,105,9
151,8,8339,3216,resnet101,295,20
152,1,9902,4897,resnet101,927,24
153,1,7051,7181,alexnet,51,25
154,1,5598,3217,vgg16,57,12
155,1,1564,1294,vgg16,1462,25
156,1,14569,1753,inception3,28,6
157,1,1472,5772,resnet101,39,20
158,1,154,8786,alexnet,96,17
159,1,3210,1601,vgg19,34,5
160,1,7333,4834,alexnet,100,10
161,1,986,1335,vgg16,99,5
162,1,7758,5172,resnet101,212,9
163,8,16006,1347,vgg19,232,20
164,1,7809,1783,vgg19,31,5
165,1,2,8492,vgg16,159,5
166,4,17962,6987,vgg16,695,20
167,1,1369,7277,vgg16,68,18
168,1,13897,2119,alexnet,41,22
169,1,3882,8496,vgg16,73,5
170,1,13862,6667,vgg19,151,24
171,1,1099,9443,alexnet,716,9
172,1,3716,2180,vgg19,294,5
173,1,17460,5672,inception3,138,17
174,1,8238,7015,alexnet,321,25
175,1,15269,7609,inception3,402,8
176,1,3234,7011,alexnet,33,12
177,8,5985,7558,inception3,303,5
178,1,3714,8096,inception3,273,5
179,1,17461,4286,vgg16,78,8
180,1,17582,539,inception3,46,10
181,1,12312,848,resnet101,23,5
182,1,6908,4849,inception3,20,14
183,1,15716,8898,vgg16,21,5
184,1,3217,2866,inception3,34,18
185,4,9701,5478,vgg16,1101,5
186,4,17884,315,vgg16,277,5
187,1,16020,5038,vgg16,74,20
188,1,13553,3073,inception3,24,9
189,8,3031,8300,alexnet,23,6
190,1,3719,7627,resnet101,290,10
191,1,11633,2750,vgg19,42,7
192,1,13554,9335,resnet101,36,15
193,1,10078,3806,vgg16,406,7
194,1,17131,5951,resnet101,24,5
195,0,12134,8081,inception3,65,8
196,1,13862,8952,alexnet,116,21
197,2,19264,2885,vgg16,823,21
198,1,7237,5844,resnet101,103,10
199,1,14422,5545,vgg19,21,6
200,1,13896,5065,resnet101,29,5
201,1,7519,7095,alexnet,101,6
202,1,5706,3292,resnet101,164,5
203,4,8874,9838,alexnet,63,7
204,1,12315,3438,inception3,20,10
205,1,17131,6193,vgg19,24,7
206,1,8238,1973,inception3,162,23
207,1,18678,2358,inception3,40,21
208,1,11639,6080,vgg19,23,25
209,1,17130,6682,vgg19,24,7
210,1,1468,5602,inception3,41,18
211,1,1004,579,resnet101,57,23
212,1,12984,2702,resnet101,68,15
213,1,2880,6098,inception3,138,5
214,1,64,9370,inception3,81,5
215,1,18962,9383,inception3,27,10
216,1,8519,545,inception3,1262,24
217,1,3316,1793,alexnet,35,23
218,1,1499,7146,alexnet,41,14
219,1,6908,2272,inception3,156,17
220,1,9326,400,vgg19,1729,21
221,1,12134,1330,resnet101,43,10
222,1,850,2226,vgg16,101,14
223,1,16201,6828,vgg19,181,5
224,1,15425,2269,vgg16,121,12
225,1,11402,4492,alexnet,27,15
226,1,3434,8160,inception3,143,23
227,1,11271,6810,alexnet,48,15
228,1,1196,9522,vgg16,58,19
229,8,2135,185,vgg16,2612,15
230,1,11633,5082,alexnet,40,21
231,1,13896,4780,vgg19,28,24
232,1,14122,3174,resnet101,166,23
233,1,13897,3130,inception3,28,22
234,1,18638,7914,alexnet,21,11
235,1,18663,5820,resnet101,24,5
236,1,7446,5384,inception3,21,18
237,1,10137,1677,vgg19,1554,19
238,4,3339,1865,vgg19,231,20
239,1,17815,1296,alexnet,76,11
240,1,7249,5396,inception3,102,20
241,1,16962,2193,vgg16,155,8
242,1,9830,9072,resnet101,24,22
243,1,17301,4510,alexnet,23,19
244,1,19081,7106,inception3,469,14
245,1,110,7931,inception3,45,17
246,1,6666,8158,resnet101,230,5
247,8,18521,6001,alexnet,962,15
248,1,11053,4475,inception3,35,5
249,1,998,4776,vgg16,158,5
250,1,18960,5939,resnet101,279,5
251,1,3302,368,resnet101,35,15
252,1,13914,1040,vgg16,32,20
253,1,7307,4190,resnet101,20,6
254,4,10090,1342,inception3,354,5
255,1,16202,2145,vgg16,111,17
256,1,7519,2602,vgg16,218,15
257,1,17812,6292,inception3,77,5
258,1,1458,349,inception3,39,5
259,1,3306,9878,inception3,33,14
260,1,19758,6816,alexnet,25,20
261,1,11637,3171,resnet101,20,13
262,1,11453,8325,alexnet,127,13
263,1,14439,8962,vgg16,20,16
264,1,12163,933,alexnet,349,21
265,1,11275,822,alexnet,23,5
266,1,95,4119,vgg16,87,5
267,1,11633,1097,resnet101,36,15
268,1,2116,3529,vgg16,74,11
269,1,7418,3072,vgg19,236,16
270,1,11637,7263,vgg19,52,6
271,1,20,3320,vgg19,86,25
272,1,14238,5630,alexnet,2403,20
273,1,14423,8201,vgg19,24,5
274,1,18960,5424,alexnet,39,24
275,1,7324,2128,alexnet,99,5
276,4,7792,230,alexnet,1870,5
277,1,5708,5236,resnet101,163,15
278,1,530,4222,inception3,84,5
279,1,14126,4283,inception3,39,12
280,1,61,1281,alexnet,54,8
281,1,19864,8304,vgg19,29,5
282,1,6904,6277,resnet101,171,10
283,1,4175,1331,vgg19,198,6
284,1,13897,2577,vgg19,31,18
285,1,4202,8880,alexnet,546,25
286,1,5017,5450,vgg16,667,21
287,1,14423,295,inception3,24,16
288,8,1818,5551,vgg19,2929,10
289,1,16689,1205,alexnet,1943,5
290,1,8556,914,vgg16,735,22
291,1,18962,5226,vgg19,27,16
292,1,19759,9201,resnet101,31,18
293,1,5601,8712,alexnet,93,5
294,1,992,1750,inception3,56,11
295,1,17582,103,vgg19,27,5
296,1,5687,1914,resnet101,104,22
297,1,18824,212,resnet101,606,16
298,1,7340,8678,vgg19,106,5
299,1,7198,500,vgg16,209,5
300,8,5805,9432,vgg16,828,14
301,1,15848,876,vgg16,22,22
302,1,11126,5259,vgg16,23,5
303,1,12134,4431,inception3,45,5
304,1,18780,340,inception3,25,8
305,1,8128,9264,inception3,44,12
306,1,14420,7365,alexnet,22,18
307,1,8208,825,vgg16,148,9
308,1,7311,4273,inception3,22,17
309,1,19948,7539,alexnet,2336,23
310,1,1533,7454,vgg16,92,5
311,1,11127,2682,vgg16,29,14
312,1,19082,9016,vgg16,336,20
313,1,931,9713,vgg19,57,5
314,8,17099,6588,resnet101,3329,12
315,1,9711,2093,inception3,461,22
316,1,15181,6917,vgg16,25,13
317,1,11482,3603,inception3,50,5
318,1,18780,5359,vgg16,20,17
319,1,9830,1690,resnet101,33,22
320,1,1325,4318,resnet101,42,5
321,1,6899,1306,resnet101,47,5
322,1,15180,4891,alexnet,22,5
323,1,13551,6505,inception3,30,14
324,1,6899,8647,vgg19,43,20
325,1,1622,6451,inception3,67,16
326,1,832,9573,vgg16,99,12
327,1,5922,7426,vgg19,4315,5
328,1,10119,6533,vgg19,34,5
329,1,6892,1457,resnet101,146,5
330,1,8236,8627,alexnet,193,5
331,1,13084,1004,vgg16,28,11
332,1,1558,9830,vgg16,534,16
333,1,17460,8855,resnet101,489,17
334,1,11296,4937,vgg16,26,8
335,1,11108,2306,vgg19,24,5
336,1,7810,7703,alexnet,32,18
337,1,14413,2138,resnet101,260,20
338,1,995,9312,resnet101,60,18
339,1,18000,5818,vgg19,115,22
340,1,11634,4606,alexnet,25,5
341,1,18692,8115,vgg19,44,6
342,1,1489,9295,inception3,41,16
343,1,11364,2064,vgg19,25,5
344,1,7323,5051,vgg19,99,9
345,1,1241,5079,alexnet,3484,21
346,1,922,5796,vgg19,98,6
347,4,12198,7031,inception3,46,16
348,1,11525,6896,inception3,33,12
349,1,128,9041,vgg19,48,6
350,1,8557,2953,inception3,742,22
351,1,13461,9885,vgg19,30,11
352,1,17129,499,inception3,26,6
353,1,7214,8146,vgg19,308,18
354,1,56,9079,resnet101,83,14
355,1,3281,7871,vgg19,35,12
356,1,997,3142,inception3,98,17
357,1,3230,9161,alexnet,34,17
358,1,11487,1237,resnet101,74,19
359,1,1606,4749,resnet101,40,5
360,1,233,6482,vgg19,86,18
361,0,12081,928,alexnet,156,15
362,1,14418,3526,resnet101,23,6
363,1,5614,1932,resnet101,32,9
364,1,1009,3090,vgg19,56,12
365,1,842,789,alexnet,57,5
366,1,7218,9551,alexnet,472,14
367,1,27,3493,inception3,188,5
368,1,6687,9679,vgg16,106,5
369,1,931,9397,vgg19,57,21
370,1,2354,3888,vgg19,215,23
371,1,3237,9662,inception3,34,6
372,1,5707,9096,vgg16,244,5
373,1,13464,3312,resnet101,31,10
374,1,14340,9051,alexnet,20,14
375,1,17300,3880,resnet101,23,8
376,1,1419,9996,vgg16,67,18
377,1,7334,2749,vgg19,68,22
378,4,5725,9066,inception3,1104,10
379,1,84,7933,resnet101,86,15
380,1,1007,6301,vgg16,60,14
381,1,113,6436,vgg16,44,20
382,1,8519,7925,inception3,1262,5
383,1,12141,4334,vgg19,36,19
384,1,15859,2183,vgg16,26,25
385,1,897,7379,vgg16,490,19
386,1,3193,2092,vgg16,34,10
387,4,12200,690,vgg19,2765,9
388,1,12133,3144,vgg19,37,18
389,4,12200,1805,resnet101,291,5
390,1,13916,3524,inception3,33,5
391,4,20072,3621,inception3,20,6
392,1,16982,1875,vgg16,156,16
393,8,19503,5088,vgg16,4305,10
394,1,1032,9320,vgg19,58,23
395,1,17842,3728,alexnet,21,15
396,1,14125,3787,vgg19,25,18
397,1,4269,2525,vgg16,230,25
398,1,9691,4598,vgg19,1328,11
399,1,7493,9058,inception3,99,5
400,1,3238,2302,vgg16,34,12
401,1,10260,8756,vgg19,188,21
402,1,14438,8710,alexnet,20,20
403,1,15181,9385,vgg16,24,10
404,1,55,1398,vgg19,59,24
405,1,1051,1096,alexnet,59,18
406,1,18556,7003,resnet101,127,5
407,1,17300,6988,alexnet,34,5
408,1,3287,2302,resnet101,36,5
409,1,17099,8367,inception3,33,17
410,1,14418,219,inception3,22,5
411,1,206,7720,vgg16,179,22
412,1,12315,5552,resnet101,20,19
413,1,73,2393,resnet101,86,12
414,1,61,2249,alexnet,54,5
415,1,14424,5529,vgg16,27,18
416,1,47,8204,vgg16,60,5
417,1,9911,6373,alexnet,107,7
418,1,5744,249,vgg16,178,11
419,1,5465,4340,vgg19,24,8
420,1,11564,2151,inception3,28,10
421,1,13896,6383,vgg16,36,8
422,1,5615,5452,resnet101,35,17
423,1,6890,3099,vgg19,159,17
424,1,1502,1689,resnet101,40,20
425,1,2884,9738,vgg16,135,17
426,1,7332,395,vgg19,211,15
427,1,3221,6143,resnet101,34,9
428,1,7813,1755,resnet101,386,7
429,1,17840,1267,resnet101,21,5
430,1,844,9362,vgg16,92,9
431,1,8554,7403,vgg16,746,12
432,1,4268,2202,resnet101,240,6
433,1,3315,6642,vgg19,33,5
434,1,307,4296,inception3,82,9
435,1,5603,6226,resnet101,50,16
436,1,296,7440,inception3,84,23
437,1,13555,4940,inception3,22,12
438,1,3277,2391,inception3,34,25
439,1,16181,9130,resnet101,22,5
440,1,7183,3893,resnet101,213,22
441,1,2353,5728,alexnet,197,5
442,1,13556,4322,inception3,32,5
443,1,17131,450,inception3,23,6
444,1,13873,652,resnet101,134,21
445,1,119,7029,inception3,86,21
446,1,2362,2146,resnet101,218,19
447,1,13901,8606,vgg16,32,5
448,1,1017,3831,vgg19,104,10
449,1,13873,1695,alexnet,99,16
450,1,14124,2696,alexnet,21,13
451,1,1482,1454,alexnet,40,13
452,1,7127,1197,resnet101,167,23
453,1,3204,8908,vgg16,33,19
454,1,132,9986,inception3,46,25
455,1,17461,2296,vgg16,137,22
456,8,17104,2485,alexnet,2484,5
457,4,7139,9204,alexnet,79,11
458,1,11529,5321,inception3,21,5
459,1,11404,9795,vgg19,29,6
460,1,655,6746,vgg19,1154,24
461,1,981,2383,vgg19,58,8
462,1,11632,288,vgg19,31,21
463,1,13897,7535,alexnet,38,5
464,1,82,2165,alexnet,280,18
465,1,14415,3086,resnet101,26,21
466,1,17160,8841,vgg16,22,16
467,1,12916,6193,vgg16,1137,5
468,1,13089,138,resnet101,34,18
469,1,18777,5637,vgg19,267,19
470,1,7632,4983,vgg16,240,17
471,1,12142,1031,inception3,22,15
472,1,15332,1698,alexnet,29,5
473,1,11,118,vgg16,172,5
474,1,59,8821,vgg16,88,5
475,1,97,8005,inception3,180,8
476,1,327,9515,vgg19,844,21
477,1,7220,7486,alexnet,189,5
478,1,14122,5448,inception3,28,25
479,1,11513,8781,alexnet,27,24
480,1,7810,8133,vgg16,25,22
481,1,7621,1971,inception3,102,15
482,8,5307,1907,resnet101,50,21
483,1,19948,4828,inception3,2336,8
484,1,3717,203,inception3,293,20
485,1,14418,5388,alexnet,22,5
486,1,17953,6438,resnet101,22,7
487,1,10077,1463,alexnet,372,20
488,1,623,3229,vgg19,727,5
489,1,7325,2364,resnet101,100,16
490,1,11491,3480,inception3,20,9
491,1,7481,8421,inception3,207,5
492,1,4175,5540,resnet101,198,13
493,8,11418,2506,vgg19,1282,24
494,1,2354,3796,inception3,213,24
495,1,14420,328,inception3,25,8
496,1,12146,4496,vgg19,44,21
497,1,843,3185,inception3,58,9
498,1,11633,9009,alexnet,31,11
499,8,5469,292,alexnet,193,16
500,1,4801,6450,vgg16,217,16
